,;,var,=,pm_operator,md_operator,(,type_name,),const,prefix_operator,unary_operator,-|
STAT,,,,,,,,,,,,reduce
ASSIGNMENT_EXP,shift,,,,,,,,,,,
ADDITIVE_EXP,reduce,,,shift,,,,,,,,
MULT_EXP,reduce,,,reduce,shift,,,,,,,
CAST_EXP,reduce,,,reduce,reduce,,,,,,,
UNARY_EXP,reduce,,,reduce,reduce,,,,,,,
;,,,,,,,,,,,,reduce
var,reduce,,shift,reduce,reduce,,,,,,,
=,,shift,,,,shift,,,shift,shift,shift,
pm_operator,,shift,,,,shift,,,shift,shift,shift,
md_operator,,shift,,,,shift,,,shift,shift,shift,
(,,,,,,,shift,,,,,
type_name,,,,,,,,shift,,,,
),,shift,,,,shift,,,shift,shift,shift,
const,reduce,,,reduce,reduce,,,,,,,
prefix_operator,,shift,,,,,,,shift,shift,shift,
unary_operator,,shift,,,,shift,,,shift,shift,shift,
nabla,,shift,,,,,,,,,,
